date,actual,predicted
2018-08-01,309,283.47195
2018-08-02,300,275.11307
2018-08-03,312,230.95412
2018-08-04,242,214.07278
2018-08-05,274,203.52312
2018-08-06,368,331.83008
2018-08-07,361,336.34998
2018-08-08,314,335.41043
2018-08-09,283,276.6284
2018-08-10,253,244.59645
2018-08-11,188,223.24635
2018-08-12,197,220.78206
2018-08-13,287,280.64368
2018-08-14,312,268.80127
2018-08-15,283,275.88937
2018-08-16,316,246.70065
2018-08-17,254,237.61562
2018-08-18,196,187.71658
2018-08-19,204,192.18095
2018-08-20,252,273.19754
2018-08-21,240,258.09775
2018-08-22,186,245.78714
2018-08-23,142,207.73454
2018-08-24,97,160.32991
2018-08-25,69,109.940254
2018-08-26,73,114.79277
2018-08-27,66,110.11188
2018-08-28,39,110.48776
2018-08-29,11,70.75231
2018-09-03,1,70.83199
